sector,weight
Information Technology,0.22600619195046442
Financials,0.17329590176837908
Communication Services,0.1503384583092827
Health Care,0.12160885763761348
Industrials,0.09967466022983681
Consumer Staples,0.0772157212572808
Real Estate,0.057826520438683957
Consumer Discretionary,0.037046754473421845
Materials,0.019494149131552712
Utilities,0.01923177834916304
Energy,0.018261006454321247
