id,symbol,calculation_date,weight,cfo_index
1,NVDA,2026-03-05,0.023272288397964004,0.9988738738738738
2,GE,2026-03-05,0.022590124363750855,0.9695945945945946
3,LLY,2026-03-05,0.022301516503122214,0.9572072072072072
4,META,2026-03-05,0.02206538279897151,0.947072072072072
5,TMUS,2026-03-05,0.021829249094820802,0.9369369369369369
6,AMD,2026-03-05,0.021803012016581833,0.9358108108108107
7,GOOG,2026-03-05,0.02171118224274545,0.9318693693693694
8,GOOGL,2026-03-05,0.021684945164506482,0.9307432432432432
9,NFLX,2026-03-05,0.02148816707771423,0.9222972972972974
10,CRM,2026-03-05,0.02146192999947526,0.9211711711711712
